P_NAME,P_HABZONE,P_TYPE_TEMP
HD 70573 b,0,Cold
HD 70642 b,0,Cold
HD 7199 b,2,Warm
HD 72490 b,0,Hot
HD 72659 b,0,Cold
HD 72892 b,0,Hot
HD 73267 b,0,Cold
HD 73526 b,0,Hot
HD 73526 c,0,Hot
HD 73534 b,2,Warm
HD 74156 b,0,
HD 74156 c,0,
HD 7449 b,0,Cold
HD 75289 b,0,Hot
HD 75784 b,0,Hot
HD 75784 c,0,Cold
HD 75898 b,0,Hot
HD 76700 b,0,Hot
HD 76920 b,0,Hot
HD 77338 b,0,Hot
HD 7924 b,0,Hot
HD 7924 c,0,Hot
HD 7924 d,0,Hot
HD 79498 b,0,Cold
HD 80606 b,0,Hot
HD 81040 b,0,Cold
HD 81688 b,0,Hot
HD 82886 b,0,Hot
HD 82943 b,2,Warm
HD 82943 c,0,Hot
HD 8326 b,0,
HD 83443 b,0,Hot
HD 8535 b,0,Cold
HD 85390 b,0,Cold
HD 85512 b,0,Hot
HD 8574 b,0,Hot
HD 86081 b,0,Hot
HD 86226 b,0,Cold
HD 86264 b,2,Warm
HD 8673 b,0,Cold
HD 86950 b,0,Hot
HD 87646 b,0,Hot
HD 87883 b,0,Cold
HD 88133 b,0,Hot
HD 89307 b,0,Cold
HD 89345 b,0,Hot
HD 89744 b,0,Hot
HD 90156 b,0,Hot
HD 9174 b,2,Warm
HD 92788 b,1,Warm
HD 92788 c,0,Cold
HD 92987 b,0,Cold
HD 93083 b,0,Hot
HD 9446 b,0,Hot
HD 9446 c,0,Hot
HD 94834 b,1,Warm
HD 95086 b,0,
HD 95089 b,0,Hot
HD 95089 c,1,Warm
HD 95127 b,0,Hot
HD 95872 b,0,Cold
HD 96063 b,0,Hot
HD 96127 b,0,Hot
HD 96167 b,0,Hot
HD 97658 b,0,Hot
HD 98219 b,0,Hot
HD 98649 b,0,Cold
HD 98736 b,0,Cold
HD 99109 b,2,Warm
HD 99492 b,0,Hot
HD 99706 b,0,Hot
HD 99706 c,0,Hot
HIP 105854 b,0,Hot
HIP 107773 b,0,Hot
HIP 109384 b,2,Warm
HIP 109600 b,1,Warm
HIP 116454 b,0,Hot
HIP 12961 b,1,Warm
HIP 14810 b,0,Hot
HIP 14810 c,0,Hot
HIP 14810 d,0,Cold
HIP 35173 b,0,
HIP 41378 b,0,Hot
HIP 41378 c,0,Hot
HIP 41378 d,2,Warm
HIP 41378 e,0,
HIP 41378 f,2,Warm
HIP 5158 b,2,Warm
HIP 5158 c,0,Cold
HIP 54373 b,0,
HIP 54373 c,0,
HIP 57274 b,0,Hot
HIP 57274 c,0,Hot
HIP 57274 d,0,Cold
HIP 63242 b,0,Hot
HIP 65407 b,0,Hot
HIP 65407 c,0,Hot
HIP 65426 b,0,Cold
HIP 65891 b,0,Hot
HIP 67537 b,1,Warm
HIP 67851 b,0,Hot
HIP 67851 c,1,Warm
HIP 70849 b,0,
HIP 71135 b,0,
HIP 74890 b,0,Hot
HIP 78530 b,0,
HIP 79098 AB b,0,
HIP 79431 b,2,Warm
HIP 8541 b,0,Hot
HIP 91258 b,0,Hot
HIP 97233 b,0,Hot
HN Peg b,0,Cold
HR 2562 b,0,
HR 810 b,0,Hot
HR 858 b,0,Hot
HR 858 c,0,Hot
HR 858 d,0,Hot
HR 8799 b,0,
HR 8799 c,0,
HR 8799 d,0,
HR 8799 e,0,
IC 4651 9122 b,0,
iot Dra b,0,Hot
K2-10 b,0,Hot
K2-100 b,0,Hot
K2-101 b,0,Hot
K2-102 b,0,Hot
K2-104 b,0,Hot
K2-105 b,0,Hot
K2-107 b,0,Hot
K2-108 b,0,Hot
K2-11 b,0,Hot
K2-110 b,0,Hot
K2-111 b,0,Hot
K2-113 b,0,Hot
K2-114 b,0,Hot
K2-115 b,0,Hot
K2-116 b,0,Hot
K2-117 b,0,Hot
K2-117 c,0,Hot
K2-118 b,0,Hot
K2-119 b,0,Hot
K2-12 b,0,Hot
K2-120 b,0,Hot
K2-121 b,0,Hot
K2-122 b,0,Hot
K2-123 b,0,Hot
K2-124 b,0,Hot
K2-125 b,0,Hot
K2-126 b,0,Hot
K2-127 b,0,Hot
K2-128 b,0,Hot
K2-129 b,0,Hot
K2-13 b,0,Hot
K2-130 b,0,Hot
K2-131 b,0,Hot
K2-132 b,0,Hot
K2-133 b,0,Hot
K2-133 c,0,Hot
K2-133 d,0,Hot
K2-133 e,0,Hot
K2-136 b,0,Hot
K2-136 c,0,Hot
K2-136 d,0,Hot
K2-137 b,0,Hot
